"","freq","alluvium","x","stratum"
"1",53,1,"encouraged","Encourage"
"2",10,2,"encouraged","Encourage"
"3",1,3,"encouraged","Encourage"
"4",3171,4,"encouraged","Encourage"
"5",4,5,"encouraged","Encourage"
"6",76,6,"encouraged","Encourage"
"7",44,7,"encouraged","Encourage"
"8",56,8,"encouraged","Encourage"
"9",2486,9,"encouraged","Encourage"
"10",3,10,"encouraged","Encourage"
"11",389,11,"encouraged","Encourage"
"12",8,12,"encouraged","Encourage"
"13",730,13,"encouraged","Encourage"
"14",25,14,"encouraged","Encourage"
"15",58,15,"encouraged","Encourage"
"16",1,16,"encouraged","Reject"
"17",16552,17,"encouraged","Reject"
"18",1,18,"encouraged","Reject"
"19",50,19,"encouraged","Reject"
"20",3,20,"encouraged","Reject"
"21",16,21,"encouraged","Reject"
"22",53,1,"full_decision","Accept"
"23",10,2,"full_decision","Reject"
"24",1,3,"full_decision","Reject"
"25",3171,4,"full_decision","Reject"
"26",4,5,"full_decision","Reject"
"27",76,6,"full_decision","Reject"
"28",44,7,"full_decision","Reject"
"29",56,8,"full_decision","Reject"
"30",2486,9,"full_decision","Revise"
"31",3,10,"full_decision","Revise"
"32",389,11,"full_decision","Revise"
"33",8,12,"full_decision","Revise"
"34",730,13,"full_decision","Revise"
"35",25,14,"full_decision","Revise"
"36",58,15,"full_decision","Revise"
"37",1,16,"full_decision","Accept"
"38",16552,17,"full_decision","Reject"
"39",1,18,"full_decision","Reject"
"40",50,19,"full_decision","Revise"
"41",3,20,"full_decision","Revise"
"42",16,21,"full_decision","Revise"
"43",53,1,"rev1_decision","Accept"
"44",10,2,"rev1_decision","Accept"
"45",1,3,"rev1_decision","Reject"
"46",3171,4,"rev1_decision","Reject"
"47",4,5,"rev1_decision","Reject"
"48",76,6,"rev1_decision","Revise"
"49",44,7,"rev1_decision","Revise"
"50",56,8,"rev1_decision","Revise"
"51",2486,9,"rev1_decision","Accept"
"52",3,10,"rev1_decision","Reject"
"53",389,11,"rev1_decision","Reject"
"54",8,12,"rev1_decision","Reject"
"55",730,13,"rev1_decision","Revise"
"56",25,14,"rev1_decision","Revise"
"57",58,15,"rev1_decision","Revise"
"58",1,16,"rev1_decision","Accept"
"59",16552,17,"rev1_decision","Reject"
"60",1,18,"rev1_decision","Revise"
"61",50,19,"rev1_decision","Accept"
"62",3,20,"rev1_decision","Reject"
"63",16,21,"rev1_decision","Revise"
"64",53,1,"rev2_decision","Accept"
"65",10,2,"rev2_decision","Accept"
"66",1,3,"rev2_decision","Accept"
"67",3171,4,"rev2_decision","Reject"
"68",4,5,"rev2_decision","Revise"
"69",76,6,"rev2_decision","Accept"
"70",44,7,"rev2_decision","Reject"
"71",56,8,"rev2_decision","Revise"
"72",2486,9,"rev2_decision","Accept"
"73",3,10,"rev2_decision","Accept"
"74",389,11,"rev2_decision","Reject"
"75",8,12,"rev2_decision","Revise"
"76",730,13,"rev2_decision","Accept"
"77",25,14,"rev2_decision","Reject"
"78",58,15,"rev2_decision","Revise"
"79",1,16,"rev2_decision","Accept"
"80",16552,17,"rev2_decision","Reject"
"81",1,18,"rev2_decision","Accept"
"82",50,19,"rev2_decision","Accept"
"83",3,20,"rev2_decision","Reject"
"84",16,21,"rev2_decision","Accept"
