"","gender","type","continent"
"1","F","Gatekeeper","Europe"
"2","M","Gatekeeper","North America"
"3","M","Gatekeeper","North America"
"4","M","Gatekeeper","Oceania"
"5","M","Gatekeeper","North America"
"6","F","Gatekeeper","North America"
"7","F","Gatekeeper","North America"
"8","M","Gatekeeper","Asia"
"9","M","Gatekeeper","Asia"
"10","F","Gatekeeper","Europe"
"11","F","Gatekeeper","Europe"
"12","M","Gatekeeper","Europe"
"13","M","Gatekeeper","Europe"
"14","M","Gatekeeper","Europe"
"15","M","Gatekeeper","Europe"
"16","M","Gatekeeper","Europe"
"17","M","Gatekeeper","Europe"
"18","M","Gatekeeper","Europe"
"19","M","Gatekeeper","Europe"
"20","M","Gatekeeper","Europe"
"21","M","Gatekeeper","Asia"
"22","M","Gatekeeper","Asia"
"23","M","Gatekeeper","Asia"
"24","M","Gatekeeper","Asia"
"25","M","Gatekeeper","Asia"
"26","M","Gatekeeper","Asia"
"27","M","Gatekeeper","Europe"
"28","M","Gatekeeper","Europe"
"29","F","Gatekeeper","Europe"
"30","M","Gatekeeper","Europe"
"31","M","Gatekeeper","Europe"
"32","M","Gatekeeper","Asia"
"33","M","Gatekeeper","Europe"
"34","F","Gatekeeper","Europe"
"35","F","Gatekeeper","Europe"
"36","M","Gatekeeper","Europe"
"37","F","Gatekeeper","North America"
"38","M","Gatekeeper","North America"
"39","M","Gatekeeper","North America"
"40","M","Gatekeeper","North America"
"41","M","Gatekeeper","North America"
"42","M","Gatekeeper","North America"
"43","M","Gatekeeper","North America"
"44","M","Gatekeeper","North America"
"45","M","Gatekeeper","North America"
"46","M","Gatekeeper","North America"
"47","F","Gatekeeper","North America"
"48","M","Gatekeeper","North America"
"49","M","Gatekeeper","North America"
"50","F","Gatekeeper","North America"
"51","M","Gatekeeper","North America"
"52","M","Gatekeeper","North America"
"53","M","Gatekeeper","North America"
"54","M","Gatekeeper","North America"
"55","M","Gatekeeper","North America"
"56","F","Gatekeeper","North America"
"57","M","Gatekeeper","North America"
"58","M","Gatekeeper","North America"
"59","F","Gatekeeper","North America"
"60","F","Gatekeeper","North America"
"61","M","Gatekeeper","North America"
"62","M","Gatekeeper","North America"
"63","M","Gatekeeper","North America"
"64","F","Gatekeeper","North America"
"65","M","Gatekeeper","North America"
"66","F","Gatekeeper","North America"
"67","M","Gatekeeper","North America"
"68","M","Gatekeeper","North America"
"69","M","Gatekeeper","North America"
"70","M","Gatekeeper","North America"
"71","M","Gatekeeper","North America"
"72","F","Gatekeeper","North America"
"73","M","Gatekeeper","North America"
"74","F","Gatekeeper","North America"
"75","M","Gatekeeper","North America"
"76","M","Gatekeeper","North America"
"77","M","Gatekeeper","North America"
"78","M","Gatekeeper","North America"
"79","M","Gatekeeper","North America"
"80","M","Gatekeeper","North America"
"81","M","Gatekeeper","North America"
"82","F","Gatekeeper","North America"
"83","F","Gatekeeper","North America"
"84","M","Gatekeeper","Europe"
"85","M","Gatekeeper","Asia"
"86","F","Gatekeeper","North America"
"87","M","Gatekeeper","Asia"
"88","F","Gatekeeper","Europe"
"89","F","Gatekeeper","Europe"
"90","M","Gatekeeper","Europe"
"91","M","Gatekeeper","Europe"
"92","M","Gatekeeper","Europe"
"93","M","Gatekeeper","Europe"
"94","M","Gatekeeper","Asia"
"95","M","Gatekeeper","Europe"
"96","M","Gatekeeper","Europe"
"97","F","Gatekeeper","North America"
"98","M","Gatekeeper","Europe"
"99","M","Gatekeeper","Europe"
"100","M","Gatekeeper","Europe"
"101","M","Gatekeeper","North America"
"102","M","Gatekeeper","North America"
"103","M","Gatekeeper","North America"
"104","M","Gatekeeper","North America"
"105","F","Gatekeeper","North America"
"106","M","Gatekeeper","North America"
"107","F","Gatekeeper","North America"
"108","M","Gatekeeper","North America"
"109","M","Gatekeeper","North America"
"110","M","Gatekeeper","North America"
"111","F","Gatekeeper","North America"
"112","M","Gatekeeper","North America"
"113","M","Gatekeeper","North America"
"114","M","Gatekeeper","North America"
"115","M","Gatekeeper","North America"
"116","M","Gatekeeper","North America"
"117","M","Gatekeeper","North America"
"118","F","Gatekeeper","North America"
"119","M","Gatekeeper","North America"
