"","elife_institution","THE_rank"
"1","University of New South Wales","Proficient"
"2","Oregon State University","Standard/Unranked/Unknown"
"3","The University of Queensland","Proficient"
"4","Australian National University","Top"
"5","Monash University","Proficient"
"6","The University of Melbourne","Top"
"7","The University of Western Australia","Proficient"
"8","University of Queensland","Proficient"
"9","Washington University in St. Louis","Proficient"
"10","Curtin University","Standard/Unranked/Unknown"
"11","Masaryk University","Standard/Unranked/Unknown"
"12","Deakin University","Standard/Unranked/Unknown"
"13","University of Wollongong","Standard/Unranked/Unknown"
"14","University of Technology Sydney","Proficient"
"15","Griffith University","Standard/Unranked/Unknown"
"16","University of the Witwatersrand","Standard/Unranked/Unknown"
"17","La Trobe University","Standard/Unranked/Unknown"
"18","University of Wisconsin-Madison","Top"
"19","The Australian National University","Top"
"20","The University of Adelaide","Proficient"
"21","The University of Sydney","Proficient"
"22","University of Melbourne","Top"
"23","University of Arizona","Proficient"
"24","University of Sydney","Proficient"
"25","University of Western Australia","Proficient"
"26","University of Groningen","Proficient"
"27","Simon Fraser University","Standard/Unranked/Unknown"
"28","University of Vienna","Proficient"
"29","Graz University of Technology","Standard/Unranked/Unknown"
"30","University of Pennsylvania","Top"
"31","UC Irvine","Proficient"
"32","KU Leuven","Top"
"33","University of Lausanne","Proficient"
"34","Ghent University","Proficient"
"35","Universite Libre de Bruxelles","Standard/Unranked/Unknown"
"36","Université Libre de Bruxelles","Standard/Unranked/Unknown"
"37","University of Antwerp","Standard/Unranked/Unknown"
"38","The University of Oxford","Top"
"39","The University of Tokyo","Top"
"40","Universite Libre de Bruxelles (ULB)","Standard/Unranked/Unknown"
"41","University of Liège","Standard/Unranked/Unknown"
"42","Federal University of Rio Grande do Norte","Standard/Unranked/Unknown"
"43","University of São Paulo","Standard/Unranked/Unknown"
"44","Hospital for Sick Children","Proficient"
"45","University of Oxford","Top"
"46","University of British Columbia","Top"
"47","University of Calgary","Proficient"
"48","University of Toronto","Top"
"49","University College London","Top"
"50","University of Alberta","Proficient"
"51","McMaster University","Proficient"
"52","McGill University","Top"
"53","University of Guelph","Standard/Unranked/Unknown"
"54","Stanford University School of Medicine","Top"
"55","University of Tübingen","Proficient"
"56","The Hospital for Sick Children","Proficient"
"57","Queen's University","Standard/Unranked/Unknown"
"58","University of Ottawa","Proficient"
"59","Dalhousie University","Standard/Unranked/Unknown"
"60","University of Northern British Columbia","Standard/Unranked/Unknown"
"61","The hospital for sick children","Proficient"
"62","The University of British Columbia","Top"
