"","country","rev.freq","rev.prop","bre.freq","bre.prop","se.freq","se.prop"
"55","United States",3648,0.559423401318816,536,0.62037037037037,32,0.56140350877193
"54","United Kingdom",707,0.108418954148137,88,0.101851851851852,7,0.12280701754386
"18","Germany",469,0.0719214844349026,69,0.0798611111111111,6,0.105263157894737
"8","Canada",249,0.0381843275571231,22,0.025462962962963,3,0.0526315789473684
"48","Switzerland",166,0.0254562183714154,19,0.0219907407407407,2,0.0350877192982456
"10","China",61,0.00935439349792977,10,0.0115740740740741,2,0.0350877192982456
"25","Israel",89,0.0136482134641926,19,0.0219907407407407,1,0.0175438596491228
"34","Netherlands",114,0.017481981291213,11,0.0127314814814815,1,0.0175438596491228
"46","Spain",78,0.0119613556203036,10,0.0115740740740741,1,0.0175438596491228
"27","Japan",128,0.0196288912743444,9,0.0104166666666667,1,0.0175438596491228
"23","India",20,0.00306701426161632,6,0.00694444444444444,1,0.0175438596491228
"16","France",245,0.0375709247047999,21,0.0243055555555556,NA,NA
"4","Australia",87,0.013341512038031,7,0.00810185185185185,NA,NA
"45","South Africa",12,0.00184020855696979,5,0.00578703703703704,NA,NA
"5","Austria",49,0.00751418494095998,4,0.00462962962962963,NA,NA
"6","Belgium",37,0.00567397638399019,3,0.00347222222222222,NA,NA
"15","Finland",26,0.00398711854010121,3,0.00347222222222222,NA,NA
"26","Italy",60,0.00920104278484895,3,0.00347222222222222,NA,NA
"43","Singapore",33,0.00506057353166692,3,0.00347222222222222,NA,NA
"51","Thailand",4,0.000613402852323263,3,0.00347222222222222,NA,NA
"13","Denmark",30,0.00460052139242447,2,0.00231481481481481,NA,NA
"29","Korea (South), Republic of",9,0.00138015641772734,2,0.00231481481481481,NA,NA
"14","Estonia",1,0.000153350713080816,1,0.00115740740740741,NA,NA
"20","Hong Kong",3,0.000460052139242447,1,0.00115740740740741,NA,NA
"21","Hungary",7,0.00107345499156571,1,0.00115740740740741,NA,NA
"24","Ireland",6,0.000920104278484895,1,0.00115740740740741,NA,NA
"28","Kenya",2,0.000306701426161632,1,0.00115740740740741,NA,NA
"32","Mexico",7,0.00107345499156571,1,0.00115740740740741,NA,NA
"35","New Zealand",10,0.00153350713080816,1,0.00115740740740741,NA,NA
"37","Poland",9,0.00138015641772734,1,0.00115740740740741,NA,NA
"47","Sweden",53,0.00812758779328324,1,0.00115740740740741,NA,NA
"1","Albania",1,0.000153350713080816,NA,NA,NA,NA
"2","Andorra",1,0.000153350713080816,NA,NA,NA,NA
"3","Argentina",10,0.00153350713080816,NA,NA,NA,NA
"7","Brazil",5,0.000766753565404079,NA,NA,NA,NA
"9","Chile",5,0.000766753565404079,NA,NA,NA,NA
"11","Croatia",2,0.000306701426161632,NA,NA,NA,NA
"12","Czech Republic",5,0.000766753565404079,NA,NA,NA,NA
"17","French Guiana",1,0.000153350713080816,NA,NA,NA,NA
"19","Greece",8,0.00122680570464653,NA,NA,NA,NA
"22","Iceland",1,0.000153350713080816,NA,NA,NA,NA
"30","Madagascar",1,0.000153350713080816,NA,NA,NA,NA
"31","Malaysia",1,0.000153350713080816,NA,NA,NA,NA
"33","Monaco",1,0.000153350713080816,NA,NA,NA,NA
"36","Norway",11,0.00168685784388897,NA,NA,NA,NA
"38","Portugal",25,0.0038337678270204,NA,NA,NA,NA
"39","Puerto Rico",2,0.000306701426161632,NA,NA,NA,NA
"40","Republic of Korea",8,0.00122680570464653,NA,NA,NA,NA
"41","Russian Federation",1,0.000153350713080816,NA,NA,NA,NA
"42","Saudi Arabia",1,0.000153350713080816,NA,NA,NA,NA
"44","Slovenia",1,0.000153350713080816,NA,NA,NA,NA
"49","Taiwan",4,0.000613402852323263,NA,NA,NA,NA
"50","Taiwan, Republic of China",2,0.000306701426161632,NA,NA,NA,NA
"52","Turkey",1,0.000153350713080816,NA,NA,NA,NA
"53","United Arab Emirates",1,0.000153350713080816,NA,NA,NA,NA
"56","Uruguay",1,0.000153350713080816,NA,NA,NA,NA
"57","USA",1,0.000153350713080816,NA,NA,NA,NA
"58","Vietnam",1,0.000153350713080816,NA,NA,NA,NA
